epoch: 0, accuracy: 0.269, loss: 237.073
epoch: 1, accuracy: 0.268, loss: 222.487
epoch: 2, accuracy: 0.262, loss: 217.287
epoch: 3, accuracy: 0.278, loss: 217.423
epoch: 4, accuracy: 0.266, loss: 216.426
epoch: 5, accuracy: 0.266, loss: 213.933
epoch: 6, accuracy: 0.282, loss: 211.109
epoch: 7, accuracy: 0.283, loss: 211.328
epoch: 8, accuracy: 0.289, loss: 209.800
epoch: 9, accuracy: 0.276, loss: 209.647
epoch: 10, accuracy: 0.298, loss: 209.510
epoch: 11, accuracy: 0.313, loss: 208.464
epoch: 12, accuracy: 0.307, loss: 208.036
epoch: 13, accuracy: 0.300, loss: 208.057
epoch: 14, accuracy: 0.311, loss: 208.434
epoch: 15, accuracy: 0.306, loss: 207.490
epoch: 16, accuracy: 0.305, loss: 206.667
epoch: 17, accuracy: 0.306, loss: 206.273
epoch: 18, accuracy: 0.299, loss: 204.987
epoch: 19, accuracy: 0.295, loss: 205.648
epoch: 20, accuracy: 0.299, loss: 204.898
epoch: 21, accuracy: 0.300, loss: 204.792
epoch: 22, accuracy: 0.306, loss: 204.623
epoch: 23, accuracy: 0.304, loss: 204.721
epoch: 24, accuracy: 0.310, loss: 204.189
epoch: 25, accuracy: 0.301, loss: 203.704
epoch: 26, accuracy: 0.307, loss: 203.989
epoch: 27, accuracy: 0.308, loss: 203.534
epoch: 28, accuracy: 0.308, loss: 203.317
epoch: 29, accuracy: 0.308, loss: 203.379
epoch: 30, accuracy: 0.309, loss: 202.902
epoch: 31, accuracy: 0.311, loss: 203.350
epoch: 32, accuracy: 0.310, loss: 202.277
epoch: 33, accuracy: 0.311, loss: 201.227
epoch: 34, accuracy: 0.309, loss: 202.454
epoch: 35, accuracy: 0.311, loss: 203.466
epoch: 36, accuracy: 0.297, loss: 202.183
epoch: 37, accuracy: 0.304, loss: 203.284
epoch: 38, accuracy: 0.297, loss: 202.798
epoch: 39, accuracy: 0.302, loss: 202.800
epoch: 40, accuracy: 0.320, loss: 202.867
epoch: 41, accuracy: 0.320, loss: 203.293
epoch: 42, accuracy: 0.322, loss: 202.914
epoch: 43, accuracy: 0.322, loss: 201.970
epoch: 44, accuracy: 0.330, loss: 201.575
epoch: 45, accuracy: 0.328, loss: 201.530
epoch: 46, accuracy: 0.324, loss: 200.799
epoch: 47, accuracy: 0.319, loss: 202.863
epoch: 48, accuracy: 0.326, loss: 202.085
epoch: 49, accuracy: 0.330, loss: 201.485
epoch: 50, accuracy: 0.334, loss: 201.165
epoch: 51, accuracy: 0.324, loss: 201.064
epoch: 52, accuracy: 0.328, loss: 200.044
epoch: 53, accuracy: 0.317, loss: 202.065
epoch: 54, accuracy: 0.330, loss: 201.362
epoch: 55, accuracy: 0.334, loss: 198.722
epoch: 56, accuracy: 0.319, loss: 201.946
epoch: 57, accuracy: 0.324, loss: 201.810
epoch: 58, accuracy: 0.337, loss: 200.061
epoch: 59, accuracy: 0.335, loss: 201.700
epoch: 60, accuracy: 0.325, loss: 201.918
epoch: 61, accuracy: 0.338, loss: 200.683
epoch: 62, accuracy: 0.329, loss: 202.365
epoch: 63, accuracy: 0.332, loss: 201.212
epoch: 64, accuracy: 0.344, loss: 200.831
epoch: 65, accuracy: 0.346, loss: 200.381
epoch: 66, accuracy: 0.346, loss: 200.931
epoch: 67, accuracy: 0.336, loss: 200.639
epoch: 68, accuracy: 0.355, loss: 200.467
epoch: 69, accuracy: 0.329, loss: 205.281
epoch: 70, accuracy: 0.328, loss: 203.522
epoch: 71, accuracy: 0.323, loss: 202.881
epoch: 72, accuracy: 0.321, loss: 203.701
epoch: 73, accuracy: 0.321, loss: 201.843
epoch: 74, accuracy: 0.329, loss: 202.005
epoch: 75, accuracy: 0.329, loss: 201.035
epoch: 76, accuracy: 0.329, loss: 201.081
epoch: 77, accuracy: 0.332, loss: 200.677
epoch: 78, accuracy: 0.328, loss: 200.963
epoch: 79, accuracy: 0.328, loss: 201.253
epoch: 80, accuracy: 0.329, loss: 201.473
epoch: 81, accuracy: 0.327, loss: 200.212
epoch: 82, accuracy: 0.340, loss: 200.027
epoch: 83, accuracy: 0.323, loss: 199.776
epoch: 84, accuracy: 0.328, loss: 205.116
epoch: 85, accuracy: 0.330, loss: 201.610
epoch: 86, accuracy: 0.328, loss: 201.778
epoch: 87, accuracy: 0.333, loss: 200.245
epoch: 88, accuracy: 0.330, loss: 200.345
epoch: 89, accuracy: 0.331, loss: 200.976
epoch: 90, accuracy: 0.325, loss: 199.951
epoch: 91, accuracy: 0.326, loss: 201.790
epoch: 92, accuracy: 0.320, loss: 202.969
epoch: 93, accuracy: 0.328, loss: 200.831
epoch: 94, accuracy: 0.317, loss: 200.930
epoch: 95, accuracy: 0.325, loss: 200.786
epoch: 96, accuracy: 0.322, loss: 200.555
epoch: 97, accuracy: 0.328, loss: 200.475
epoch: 98, accuracy: 0.324, loss: 200.736
epoch: 99, accuracy: 0.324, loss: 200.710
